Estado,Total,Pareja,Familiar,Escolar,Trabajo,Comunitario
Estados Unidos Mexicanos,44.8,25.6,10.3,17.4,22.5,23.3
Aguascalientes,53.6,33,12.5,20,28.1,28.7
Baja California,40.7,19.6,7.8,13.3,21.5,21
Baja California Sur,34.2,19.4,6.8,14,16.7,13.9
Campeche,35.7,19.5,8.9,14.9,15.7,17.1
Coahuila,46.5,27.1,11.6,18.9,30,21.8
Colima,41.2,24.8,9.7,10.4,18.4,19.3
Chiapas,32.4,17.6,7.6,13.6,18.4,14.8
Chihuahua,46.8,27.3,9.8,16.6,28.4,23
Ciudad de México,55.1,28,9.7,19.7,22.8,37
Durango,47,27.9,12.4,17.1,27.6,22.5
Guanajuato,42.6,23.7,8.8,18,22.3,22.2
Guerrero,36.4,22.6,9.2,14.9,18.5,14.4
Hidalgo,43.2,25.3,10.8,16.3,21.8,19.3
Jalisco,52,30,12.8,20.5,25.5,28.3
México,53.3,31,12.3,17.4,23.6,30.8
Michoacán,44,26.9,12.3,20.5,22.6,18.5
Morelos,44.5,25.2,9.9,18.4,22.3,21.7
Nayarit,38.9,24,9.5,14.1,16.3,15.5
Nuevo León,38.9,19,6.9,17.3,20.2,22.6
Oaxaca,39.7,24.7,11.3,17.8,18.6,14.8
Puebla,44,25.3,11.1,17.5,22,21.6
Querétaro,49.9,26.4,11.5,18.8,28.9,28.5
Quintana Roo,46.1,25.2,10,18.2,24.7,24.8
San Luis Potosí,38.1,23.4,9,13,18.3,18.8
Sinaloa,38.5,23,9.8,16.3,21.1,16.1
Sonora,39.7,23.3,8.7,14.3,20.2,18.6
Tabasco,35.6,21.5,8.1,13.8,16.5,16.7
Tamaulipas,37.3,19.5,8.1,17.1,20.6,19.9
Tlaxcala,41.7,24.7,10,15.9,21.2,18.7
Veracruz,41.3,24.3,11.1,18.5,20.9,19.6
Yucatán,45.8,27.7,9.1,17.1,19.3,22.6
Zacatecas,39.8,26.3,9.5,20.2,22.9,16.4
